Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
Saachi 3 In1 Double Jar Blender NL-BL-4376- Black,"UGX 150,000","UGX 141,000",6%,,5.0,https://www.jumia.ug/3-in1-double-jar-blender-nl-bl-4376-black-saachi-mpg522741.html,Blenders
ADH Electric 3 Plug Pins Pacolater Heat Kettle Steel 2L - Silver,"UGX 50,000","UGX 31,200",38%,3.4,74.0,https://www.jumia.ug/adh-electric-3-plug-pins-pacolater-heat-kettle-steel-2l-silver-33927604.html,kettles
"Marado 2.5L Electric Heat Kettle Percolator - Purple, Blue, White","UGX 60,000","UGX 32,000",47%,3.8,6.0,https://www.jumia.ug/2.5l-electric-heat-kettle-percolator-purple-blue-white-marado-mpg5925459.html,kettles
"Hoffmans 2L Glass Electric Kettle With LED Blue Light- Silver , Black.","UGX 100,000","UGX 39,400",61%,4.2,422.0,https://www.jumia.ug/hoffmans-2l-glass-electric-kettle-with-led-blue-light-silver-black.-100255753.html,kettles
"Fast Boiling Kettle Pacolator 2 Litres - Silver,Black","UGX 50,000","UGX 32,800",34%,3.7,6.0,https://www.jumia.ug/generic-fast-boiling-kettle-pacolator-2-litres-silverblack-145871621.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Multcolour,"UGX 60,000","UGX 36,500",39%,4.7,3.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-multcolour-252980482.html,kettles
"2L Electric Kettle, Flat Iron, & Power King 6 Way - Silver","UGX 180,000","UGX 62,500",65%,3.8,73.0,https://www.jumia.ug/flat-iron-2l-electric-kettle-power-king-6-way-silver-scarlett-mpg581920.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle - Multi-Color,"UGX 70,000","UGX 36,500",48%,3.5,23.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-multi-color-246059381.html,kettles
Transparent Electric Kettle/Pacolater - Silver,"UGX 145,000","UGX 43,900",70%,4.3,77.0,https://www.jumia.ug/transparent-electric-kettlepacolater-silver-generic-mpg112789.html,kettles
Hoffmans 2.5Ltrs Electric Tea Kettle For Boiling Water Stainless Steel Double Wall Hot Water Boiler With Automatic Shut Off & Boil-Dry Protection - Color May Vary,"UGX 120,000","UGX 36,500",70%,4.2,217.0,https://www.jumia.ug/hoffmans-2.5ltrs-electric-tea-kettle-for-boiling-water-stainless-steel-double-wall-hot-water-boiler-with-automatic-shut-off-boil-dry-protection-color-may-vary-107380776.html,kettles
Hoffmans 3L Pacolator(Water Heater)And Flask,"UGX 80,000","UGX 65,000",19%,4.0,2.0,https://www.jumia.ug/hoffmans-3l-pacolatorwater-heaterand-flask-246307011.html,kettles
Hoffmans 2.2 Liters Electric Kettle HM-2515 - Transparent,"UGX 100,000","UGX 46,000",54%,,28.0,https://www.jumia.ug/hoffmans-2.2-liters-electric-kettle-hm-2515-transparent-144979765.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Multi - colour,"UGX 70,000","UGX 36,500",48%,,35.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-multi-colour-249788443.html,kettles
Hoffmans 2.5L Electric  Cooking Pacolator/Kettle -Multcolour,"UGX 50,000","UGX 39,000",22%,4.5,16.0,https://www.jumia.ug/hoffmans-2.5l-electric-cooking-pacolatorkettle-multcolour-246226379.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 70,000","UGX 36,000",49%,3.9,14.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-249766348.html,kettles
Bro Toumi Electric Kettle Folding Portable Travel Camping Kettle,"UGX 57,750","UGX 34,650",40%,,7.0,https://www.jumia.ug/bro-toumi-electric-kettle-folding-portable-travel-camping-kettle-135109609.html,kettles
"Water Boiler Electric Percolator 2 Litres  - Green, Pink, Blue","UGX 80,000","UGX 39,000",51%,4.0,65.0,https://www.jumia.ug/generic-water-boiler-electric-percolator-2-litres-green-pink-blue-56723497.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 70,000","UGX 45,000",36%,5.0,3.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-250191707.html,kettles
Top Scarlett Electric 3 Plug Pins Pacolater Heat Kettle Steel 2L - Silver,"UGX 60,000","UGX 29,000",52%,3.8,10.0,https://www.jumia.ug/generic-top-scarlett-electric-3-plug-pins-pacolater-heat-kettle-steel-2l-silver-210574795.html,kettles
Pixel 2.5 Liters Fast Boiling Electric Kettle - Blue 1 Year Warranty,"UGX 40,000","UGX 28,100",30%,3.9,230.0,https://www.jumia.ug/2.5-liters-fast-boiling-electric-kettle-blue-1-year-warranty-pixel-mpg2817934.html,kettles
"Scarlet Electric Kettle Percolator 2L - Silver, Black.","UGX 29,400","UGX 17,900",39%,3.8,6354.0,https://www.jumia.ug/generic-scarlet-electric-kettle-percolator-2l-silver-black.-15076996.html,kettles
Scarlett Electric Pacolater Heat Kettle Steel 2L - Silver,"UGX 45,000","UGX 37,000",18%,4.3,23.0,https://www.jumia.ug/generic-scarlett-electric-pacolater-heat-kettle-steel-2l-silver-166300634.html,kettles
"Hoffmans 2L Glass Electric Kettle With LED Blue Light- Silver , Black","UGX 70,000","UGX 48,000",31%,4.3,47.0,https://www.jumia.ug/hoffmans-2l-glass-electric-kettle-with-led-blue-light-silver-black-134820716.html,kettles
RAF Automatic Electric Kettle 2L R.7875 – Cool To Touch & Stainless Steel – 2000W - Black,"UGX 65,000","UGX 35,200",46%,3.0,1.0,https://www.jumia.ug/raf-automatic-electric-kettle-2l-r.7875-cool-to-touch-stainless-steel-2000w-black-250984745.html,kettles
Pearllight 2Litres Electric Kettle  Percolator- Color My Vary.,"UGX 33,750","UGX 26,000",23%,3.7,40.0,https://www.jumia.ug/pearllight-2litres-electric-kettle-percolator-color-my-vary.-210203625.html,kettles
"Pearl Light Water Boiler Electric Parcolator 2 Liters - Green,Blue,Pink,White","UGX 78,000","UGX 39,800",49%,3.5,37.0,https://www.jumia.ug/generic-pearl-light-water-boiler-electric-parcolator-2-liters-greenbluepinkwhite-97026705.html,kettles
PTL 2ltr Electric Kettle- Pacolator Green,"UGX 60,000","UGX 36,000",40%,3.8,12.0,https://www.jumia.ug/ptl-2ltr-electric-kettle-pacolator-green-203005875.html,kettles
"Hoffmans 2L Glass Electric Kettle With LED Blue Light- Silver , Black","UGX 100,000","UGX 39,400",61%,,240.0,https://www.jumia.ug/hoffmans-2l-glass-electric-kettle-with-led-blue-light-silver-black-113418907.html,kettles
Hoffmans Electric Kettle 3.0 L 2000 W HM-2530 - Black,"UGX 70,000","UGX 42,500",39%,3.9,12.0,https://www.jumia.ug/electric-kettle-3.0-l-2000-w-hm-2530-black-hoffmans-mpg6077274.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream.,"UGX 80,000","UGX 45,000",44%,5.0,1.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream.-245687766.html,kettles
5.0L Stainless Steel Electric Kettle Cerek Jag Pot Teapot Hot Water Boiler LED In,"UGX 125,000","UGX 77,000",38%,4.0,6.0,https://www.jumia.ug/generic-5.0l-stainless-steel-electric-kettle-cerek-jag-pot-teapot-hot-water-boiler-led-in-98040268.html,kettles
"Bundle Of  Flat Iron, Scarlet Kettle 2 Ltr & 6Way Extension Cable - Silver","UGX 120,000","UGX 64,500",46%,3.7,235.0,https://www.jumia.ug/bundle-of-flat-iron-scarlet-kettle-2-ltr-6way-extension-cable-silver-generic-mpg521904.html,kettles
"Cordless Electric Kettle, Pacolator, 2Ltrs - Multicolor","UGX 45,000","UGX 30,000",33%,3.9,55.0,https://www.jumia.ug/generic-cordless-electric-kettle-pacolator-2ltrs-multicolor-100262347.html,kettles
"Saachi Electric Kettle, 5Litres - Kettle","UGX 140,000","UGX 131,000",6%,,19.0,https://www.jumia.ug/electric-kettle-5litres-kettle-saachi-mpg760464.html,kettles
Alizz 2.3 Litre Professional Electric Kettle  - Silver & Black(1 YR WRTY),"UGX 39,000","UGX 22,000",44%,4.0,248.0,https://www.jumia.ug/alizz-2.3-litre-professional-electric-kettle-silver-black1-yr-wrty-61009327.html,kettles
Hoffmans 3L Kettle/Flask - 2000W,"UGX 100,000","UGX 43,000",57%,2.0,2.0,https://www.jumia.ug/3l-kettleflask-2000w-hoffmans-mpg5204536.html,kettles
Electric Kettle- Pacolator- 2 Litters -Green,"UGX 75,000","UGX 30,800",59%,3.8,301.0,https://www.jumia.ug/generic-electric-kettle-pacolator-2-litters-green-50173859.html,kettles
Hoffmans Electric Kettle Percolator 2.5L,"UGX 70,000","UGX 46,000",34%,4.8,8.0,https://www.jumia.ug/hoffmans-electric-kettle-percolator-2.5l-203504685.html,kettles
Marado Percolator 2.3L - Colour May Vary (2YRS WRTY),"UGX 39,800","UGX 19,800",50%,3.7,6231.0,https://www.jumia.ug/marado-percolator-2.3l-colour-may-vary-2yrs-wrty-107011768.html,kettles
Top Scarlett Electric 3 Plug Pins Pacolater Heat Kettle Steel 2L - Silver,"UGX 65,000","UGX 29,500",55%,,11.0,https://www.jumia.ug/generic-top-scarlett-electric-3-plug-pins-pacolater-heat-kettle-steel-2l-silver-210574237.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream.,"UGX 50,000","UGX 36,000",28%,3.7,3.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream.-245687887.html,kettles
Fast Boiling Percolator Kettle 2Litre-Silver Design May Vary,"UGX 28,000","UGX 26,000",7%,,202.0,https://www.jumia.ug/fast-boiling-percolator-kettle-2litre-silver-design-may-vary-generic-mpg167922.html,kettles
"Pearlight Electric Kettle / Water Boiler / Tea Kettle 2 Litres- Green,Pink, Blue","UGX 75,000","UGX 33,000",56%,2.5,2.0,https://www.jumia.ug/generic-pearlight-electric-kettle-water-boiler-tea-kettle-2-litres-greenpink-blue-215958487.html,kettles
Kenwood 1.7L Capacity high Quality Plastic kettle 2200W ZJP01- Black / Silver(1 YR WRTY),"UGX 165,400","UGX 137,950",17%,5.0,1.0,https://www.jumia.ug/kenwood-1.7l-capacity-high-quality-plastic-kettle-2200w-zjp01-black-silver1-yr-wrty-144370933.html,kettles
Hoffmans 3L Electric Kettle/Flask - 2000W,"UGX 100,000","UGX 49,000",51%,1.0,1.0,https://www.jumia.ug/3l-electric-kettleflask-2000w-hoffmans-mpg5546379.html,kettles
"Original Parcolator 2 Litres - Silver, Black","UGX 50,018","UGX 38,000",24%,3.3,4.0,https://www.jumia.ug/original-parcolator-2-litres-silver-black-generic-mpg210439.html,kettles
"Fast Boiling Kettle  Pacolator 2 Litres - Silver,Black","UGX 89,991","UGX 33,000",63%,3.1,36.0,https://www.jumia.ug/fast-boiling-kettle-pacolator-2-litres-silverblack-generic-mpg4790395.html,kettles
Scarlet Cordless Electric Kettle - 2Litre Black,"UGX 30,000","UGX 25,000",17%,,,https://www.jumia.ug/scarlet-cordless-electric-kettle-2litre-black-246239903.html,kettles
"Original Saachi 2L Stainless Electric Kettle / Pacorator / Water Boiler - Silver, Black","UGX 70,000","UGX 38,000",46%,,,https://www.jumia.ug/generic-original-saachi-2l-stainless-electric-kettle-pacorator-water-boiler-silver-black-253766685.html,kettles
Hoffmans 2.5L Electric Tea Kettle Fast Boiling Auto Shut-off And Boil Dry Protection Electric Kettle Pacolator,"UGX 70,000","UGX 50,000",29%,,,https://www.jumia.ug/hoffmans-2.5l-electric-tea-kettle-fast-boiling-auto-shut-off-and-boil-dry-protection-electric-kettle-pacolator-251687216.html,kettles
RAF Automatic Electric Kettle 2L R.7875 – Cool To Touch & Stainless Steel – 2000W - White,"UGX 65,000","UGX 35,200",46%,1.0,1.0,https://www.jumia.ug/raf-automatic-electric-kettle-2l-r.7875-cool-to-touch-stainless-steel-2000w-white-250984744.html,kettles
Hoffmans 2.5Litres Electric Tea Kettles for Boiling Water Stainless Steel Double Wall Hot Water Boiler with Automatic Shut Off & Boil-Dry Protection -Multicolor,"UGX 150,000","UGX 49,000",67%,3.9,19.0,https://www.jumia.ug/hoffmans-2.5litres-electric-tea-kettles-for-boiling-water-stainless-steel-double-wall-hot-water-boiler-with-automatic-shut-off-boil-dry-protection-multicolor-130876600.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 70,000","UGX 55,000",21%,3.5,2.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-249706404.html,kettles
"Pearllight Cordless Electric Kettle, Pacolator, 2Ltrs - Green","UGX 42,000","UGX 40,000",5%,4.0,206.0,https://www.jumia.ug/cordless-electric-kettle-pacolator-2ltrs-green-pearllight-mpg522675.html,kettles
Electric Kettle - Silver.,"UGX 280,000","UGX 258,000",8%,,,https://www.jumia.ug/generic-electric-kettle-silver.-253136469.html,kettles
Hoffmans Pack Of Original 2.5Ltrs Electric Tea Kettle For Boiling Water Stainless Steel Double Wall Hot Water Boiler with Automatic Shut Off & Boil-Dry Protection Plus A Steam & Dry Flat Iron And A FREE Generic Power King 4 Way Extension Cable - Multicolor,"UGX 300,000","UGX 88,000",71%,3.0,3.0,https://www.jumia.ug/hoffmans-pack-of-original-2.5ltrs-electric-tea-kettle-for-boiling-water-stainless-steel-double-wall-hot-water-boiler-with-automatic-shut-off-boil-dry-protection-plus-a-steam-dry-flat-iron-and-a-free-generic-power-king-4-way-extension-cable-multicolor-160954573.html,kettles
"Original 2L Glass Electric Kettle With LED Blue Light Plus A 6way Heavy Duty And Durable Extension Cable And A Flat Iron With Non Stick Coating Soleplate  - Silver , Black","UGX 200,000","UGX 98,000",51%,3.3,6.0,https://www.jumia.ug/generic-original-2l-glass-electric-kettle-with-led-blue-light-plus-a-6way-heavy-duty-and-durable-extension-cable-and-a-flat-iron-with-non-stick-coating-soleplate-silver-black-144715147.html,kettles
"Marado Stainless Cordless Electric Percolator Kettle, 2Litres - Red","UGX 65,000","UGX 55,000",15%,3.3,6.0,https://www.jumia.ug/stainless-cordless-electric-percolator-kettle-2litres-red-marado-mpg71164.html,kettles
WINNING STAR 5.0L Stainless Steel Electric Kettle Cerek Jag Pot Teapot Hot Water Boiler LED In,"UGX 100,000","UGX 84,000",16%,,,https://www.jumia.ug/winning-star-5.0l-stainless-steel-electric-kettle-cerek-jag-pot-teapot-hot-water-boiler-led-in-246240014.html,kettles
"Original Saachi 2L Stainless Electric Kettle / Pacorator / Water Boiler - Silver, Black","UGX 100,000","UGX 42,000",58%,5.0,1.0,https://www.jumia.ug/generic-original-saachi-2l-stainless-electric-kettle-pacorator-water-boiler-silver-black-217284305.html,kettles
"Original 6 Way Extension Cable & Scarlette Pacolator - Silver,White","UGX 150,000","UGX 50,000",67%,4.5,10.0,https://www.jumia.ug/generic-original-6-way-extension-cable-scarlette-pacolator-silverwhite-155288992.html,kettles
"Scarlett Electric Kettle Fast Boiling Percolator,  2 Litres  - Silver,Black","UGX 29,900","UGX 24,000",20%,4.0,21.0,https://www.jumia.ug/electric-kettle-fast-boiling-percolator-2-litres-silverblack-scarlett-mpg4787862.html,kettles
"Simbaland Electric Kettle 1.8L, Stainless Steel - Silver","UGX 100,000","UGX 58,000",42%,4.0,11.0,https://www.jumia.ug/simbaland-electric-kettle-1.8l-stainless-steel-silver-134079174.html,kettles
Scarlet Cordless Electric Kettle - 2Litre Black,"UGX 30,000","UGX 25,000",17%,5.0,1.0,https://www.jumia.ug/cordless-electric-kettle-2litre-black-scarlet-mpg6411690.html,kettles
"A Pack Of 2.5 L Electric Milk Boiling Kettle And A Steam & Dry Flatiron - Cream, Blue, Black","UGX 140,000","UGX 70,000",50%,,,https://www.jumia.ug/generic-a-pack-of-2.5-l-electric-milk-boiling-kettle-and-a-steam-dry-flatiron-cream-blue-black-251721601.html,kettles
Electro Master EM-SK-1094 1.8L Electric Kettle - Silver,"UGX 80,000","UGX 75,000",6%,4.8,4.0,https://www.jumia.ug/em-sk-1094-1.8l-electric-kettle-silver-electro-master-mpg52549.html,kettles
"Hoffmans Original Multipurpose Electric Kettle Water And Milk Boiler 2.5 Litres Flask Pot Serving Jar Rapid Boil System- White, Black","UGX 180,000","UGX 65,000",64%,,14.0,https://www.jumia.ug/original-multipurpose-electric-kettle-water-and-milk-boiler-2.5-litres-flask-pot-serving-jar-rapid-boil-system-white-black-hoffmans-mpg4779308.html,kettles
Electric 3 Plug Pins Pacolater Heat Kettle Steel 2L - Silver,,"UGX 33,400",,3.5,2.0,https://www.jumia.ug/generic-electric-3-plug-pins-pacolater-heat-kettle-steel-2l-silver-210771226.html,kettles
Sonifer Portable Travel Electric Kettle Mug Boiler  0.6Litres,"UGX 95,100","UGX 69,000",27%,,,https://www.jumia.ug/sonifer-portable-travel-electric-kettle-mug-boiler-0.6litres-251688010.html,kettles
"Marado Electric Coffee Percolator – Classic Brewing, Modern Touch. Multcolour","UGX 50,000","UGX 33,000",34%,3.0,1.0,https://www.jumia.ug/marado-electric-coffee-percolator-classic-brewing-modern-touch.-multcolour-251274587.html,kettles
Marado  Electric Kettle 2.5 Liters Plus A Free 4 Way Extension  -Black,"UGX 110,000","UGX 53,500",51%,4.0,6.0,https://www.jumia.ug/marado-electric-kettle-2.5-liters-plus-a-free-4-way-extension-black-97347352.html,kettles
Hoffmans A Bundle Of An Electric Kettle Percolator 2.5L Plus A Steam And Dry Flat Iron,"UGX 200,000","UGX 100,000",50%,5.0,3.0,https://www.jumia.ug/hoffmans-a-bundle-of-an-electric-kettle-percolator-2.5l-plus-a-steam-and-dry-flat-iron-244077675.html,kettles
"Hoffmans Electric Coffee Percolator – Classic Brewing, Modern Touch. Multcolour","UGX 50,000","UGX 36,000",28%,5.0,1.0,https://www.jumia.ug/hoffmans-electric-coffee-percolator-classic-brewing-modern-touch.-multcolour-251143495.html,kettles
Hoffmans 2.5L Electric Tea Kettle Fast Boiling Auto Shut-off and Boil Dry Protection Electric Kettle Pacolator Black,"UGX 62,400","UGX 48,000",23%,,,https://www.jumia.ug/hoffmans-2.5l-electric-tea-kettle-fast-boiling-auto-shut-off-and-boil-dry-protection-electric-kettle-pacolator-black-239852335.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 60,000","UGX 45,000",25%,,3.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-246058093.html,kettles
"Bundle Of Electric Kettle Percolator 2 Liters & Flat Iron  Plus A Free TV Guard - Silver, White","UGX 150,000","UGX 73,600",51%,3.8,9.0,https://www.jumia.ug/generic-bundle-of-electric-kettle-percolator-2-liters-flat-iron-plus-a-free-tv-guard-silver-white-98440279.html,kettles
Hoffmans Pack Of Original 2.5Ltrs Electric Tea Kettle For Boiling Water Double Wall Hot Water Boiler with Automatic Shut Off & Boil-Dry Protection Plus A Flat Iron With Non Stick Coating Soleplate And A Single Solid Electric Hotplate 1000W- Multicolor,"UGX 350,000","UGX 110,000",69%,4.0,3.0,https://www.jumia.ug/hoffmans-pack-of-original-2.5ltrs-electric-tea-kettle-for-boiling-water-double-wall-hot-water-boiler-with-automatic-shut-off-boil-dry-protection-plus-a-flat-iron-with-non-stick-coating-soleplate-and-a-single-solid-electric-hotplate-1000w-multicolor-160954561.html,kettles
"Steam Flat Iron & Electric Kettle Percolator 2 Litres - Silver, White","UGX 160,000","UGX 56,800",65%,3.7,6.0,https://www.jumia.ug/generic-steam-flat-iron-electric-kettle-percolator-2-litres-silver-white-141109349.html,kettles
Marado  Original 2.5L Electric Heat Kettle Percolator- Multicolor,"UGX 105,000","UGX 51,000",51%,4.3,3.0,https://www.jumia.ug/marado-original-2.5l-electric-heat-kettle-percolator-multicolor-97026755.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle - Black,"UGX 85,000","UGX 67,500",21%,,,https://www.jumia.ug/2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-hoffmans-mpg5885660.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 60,000","UGX 45,000 - UGX 48,000",25%,,,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-250191691.html,kettles
"Original Fast Boiling Electric Kettle Percolator 2 Liters - Silver, Black","UGX 150,000","UGX 35,000",77%,,,https://www.jumia.ug/generic-original-fast-boiling-electric-kettle-percolator-2-liters-silver-black-224527746.html,kettles
Hoffmans 6L Electric Fast Boiling With Auto Turn - Off  Kettle 2000W,"UGX 100,000","UGX 70,000",30%,1.0,1.0,https://www.jumia.ug/6l-electric-fast-boiling-with-auto-turn-off-kettle-2000w-hoffmans-mpg6421322.html,kettles
Hoffmans Pack Of Original 2.5Ltrs Electric Tea Kettle For Boiling Water Stainless Steel Double Wall Hot Water Boiler with Automatic Shut Off & Boil-Dry Protection Plus A Mini Foldable Travel Steam Flat Iron Box And A Single Coil Hot Plate 1000W- Multicolor,"UGX 350,000","UGX 98,000",72%,3.5,6.0,https://www.jumia.ug/hoffmans-pack-of-original-2.5ltrs-electric-tea-kettle-for-boiling-water-stainless-steel-double-wall-hot-water-boiler-with-automatic-shut-off-boil-dry-protection-plus-a-mini-foldable-travel-steam-flat-iron-box-and-a-single-coil-hot-plate-1000w-multicolor-160954567.html,kettles
"Top Scarlett Electric Kettle,3 Plug Pins Percolater / Water Boiler / Water Heater Kettle Steel 2L - Silver","UGX 80,000","UGX 31,000",61%,5.0,3.0,https://www.jumia.ug/top-scarlett-electric-kettle3-plug-pins-percolater-water-boiler-water-heater-kettle-steel-2l-silver-generic-mpg4669340.html,kettles
"6 Way Extension Cable, Electric Kettle 2L & Flat Iron, Plus A Free TV Guard - Silver, White","UGX 185,000","UGX 83,000",55%,,,https://www.jumia.ug/6-way-extension-cable-electric-kettle-2l-flat-iron-plus-a-free-tv-guard-silver-white-generic-mpg521741.html,kettles
"Power Crest 2.5 L Electric Milk Boiling / Cooking Kettle -Black ,Cream","UGX 96,000","UGX 48,000",50%,,,https://www.jumia.ug/generic-power-crest-2.5-l-electric-milk-boiling-cooking-kettle-black-cream-251721595.html,kettles
Pearllight Electric Kettle - SPE01 - Cream,"UGX 47,500","UGX 36,000",24%,5.0,4.0,https://www.jumia.ug/pearllight-electric-kettle-spe01-cream-210206451.html,kettles
"Original Saachi 2L Stainless Electric Kettle / Pacorator / Water Boiler - Silver, Black","UGX 70,000","UGX 38,000",46%,,,https://www.jumia.ug/generic-original-saachi-2l-stainless-electric-kettle-pacorator-water-boiler-silver-black-253135907.html,kettles
"Scarlett Original Steam&Dry Flat Iron & Electric Kettle Percolator 2 Litres - Silver, White","UGX 120,000","UGX 57,400",52%,5.0,1.0,https://www.jumia.ug/scarlett-original-steamdry-flat-iron-electric-kettle-percolator-2-litres-silver-white-155288967.html,kettles
Hoffmans 2.5L Electric Milk Boiling/ Cooking Pacolator/Kettle -Black Cream,"UGX 60,000","UGX 43,000 - UGX 45,000",28%,3.0,1.0,https://www.jumia.ug/hoffmans-2.5l-electric-milk-boiling-cooking-pacolatorkettle-black-cream-250191504.html,kettles
Hoffmans Electric Kettle Of 2.5 Liters For Boiling Water Fast -Multicolour,"UGX 65,000","UGX 57,500",12%,5.0,1.0,https://www.jumia.ug/electric-kettle-of-2.5-liters-for-boiling-water-fast-multicolour-hoffmans-mpg944581.html,kettles
2.4 Liters Stainless Steel Electric Kettle-Silver,"UGX 75,000","UGX 72,000",4%,,,https://www.jumia.ug/2.4-liters-stainless-steel-electric-kettle-silver-generic-mpg5733046.html,kettles
Hoffmans Original Double-Layer Insulation Electric Kettle Stainless Steel Automatic Power Off Household Boiler Cup Can Percolator And Flask-Multicolor,"UGX 200,000","UGX 85,000",58%,4.7,3.0,https://www.jumia.ug/original-double-layer-insulation-electric-kettle-stainless-steel-automatic-power-off-household-boiler-cup-can-percolator-and-flask-multicolor-hoffmans-mpg4763420.html,kettles
"Pack Of Original 2L Glass Electric Kettle With LED Blue Light With A Mini Foldable Travel Steam Flat Iron Box And A 4Way Power Extension Cable- Silver , Black","UGX 200,000","UGX 90,000",55%,4.5,2.0,https://www.jumia.ug/generic-pack-of-original-2l-glass-electric-kettle-with-led-blue-light-with-a-mini-foldable-travel-steam-flat-iron-box-and-a-4way-power-extension-cable-silver-black-144715929.html,kettles
"2L Electric Kettle, Dry Flat Iron & Single Coil Hotplate - Silver, Black","UGX 200,000","UGX 82,000",59%,1.0,1.0,https://www.jumia.ug/generic-2l-electric-kettle-dry-flat-iron-single-coil-hotplate-silver-black-224527743.html,kettles
"Sonifer Cordless Electric Kettle, 2 Litres - Black","UGX 80,000","UGX 72,000",10%,3.9,11.0,https://www.jumia.ug/sonifer-cordless-electric-kettle-2-litres-black-sonifer-mpg45770.html,kettles
"Electric Kettle, 5 Litres - Silver",,"UGX 103,000",,3.0,2.0,https://www.jumia.ug/generic-electric-kettle-5-litres-silver-8849175.html,kettles
3 Liters Stainless Steel Whistling Kettle With Induction Bottom Makes Noise When Tea Is Ready - Multicolor,"UGX 75,000","UGX 65,000",13%,,,https://www.jumia.ug/generic-3-liters-stainless-steel-whistling-kettle-with-induction-bottom-makes-noise-when-tea-is-ready-multicolor-247713568.html,kettles
Pearllight Pearlight Electric Kettle 2 Litres - Green,"UGX 50,000","UGX 38,000",24%,1.0,1.0,https://www.jumia.ug/generic-pearllight-pearlight-electric-kettle-2-litres-green-145871641.html,kettles
"Hoffmans 2L Glass Electric Kettle With LED Blue Light Plus A Free Extension - Silver , Black","UGX 110,000","UGX 55,000",50%,,,https://www.jumia.ug/hoffmans-2l-glass-electric-kettle-with-led-blue-light-plus-a-free-extension-silver-black-247719503.html,kettles
Scarlett Electric Pacolater Kettle Steel 2L - Silver,"UGX 45,000","UGX 38,000",16%,5.0,1.0,https://www.jumia.ug/generic-scarlett-electric-pacolater-kettle-steel-2l-silver-166293585.html,kettles
Hoffmans 2.5L Electric  Cooking Pacolator/Kettle -Multcolour,"UGX 50,000","UGX 39,000",22%,2.5,2.0,https://www.jumia.ug/2.5l-electric-cooking-pacolatorkettle-multcolour-hoffmans-mpg5555856.html,kettles
Hoffmans 3 Litre Double-Layer  Insulation Electric Kettle 304 Stainless Steel Automatic Power Off Household Boiler Cup Can Pacolater -Multicolor,,"UGX 95,000",,,,https://www.jumia.ug/3-litre-double-layer-insulation-electric-kettle-304-stainless-steel-automatic-power-off-household-boiler-cup-can-pacolater-multicolor-hoffmans-mpg6026207.html,kettles
"Power King Bundle of Flat Iron, Scarlet Kettle 2 ltr & 6Way Extension Cable - Silver","UGX 120,002","UGX 81,486",32%,4.0,106.0,https://www.jumia.ug/bundle-of-flat-iron-scarlet-kettle-2-ltr-6way-extension-cable-silver-power-king-mpg487127.html,kettles
Hoffmans 2.2L Electric Kettle Glass Tea Kettle Fast Boiling Auto Shut-off and Boil Dry Protection Transparent Electric Kettle Pacolator,"UGX 70,000","UGX 58,000",17%,,,https://www.jumia.ug/hoffmans-2.2l-electric-kettle-glass-tea-kettle-fast-boiling-auto-shut-off-and-boil-dry-protection-transparent-electric-kettle-pacolator-243937432.html,kettles
Kenwood Stainless Steel Kettle 1.7L Capacity - ZJM01- Silver/ Black(1 YR WRTY),,"UGX 223,600",,5.0,3.0,https://www.jumia.ug/kenwood-stainless-steel-kettle-1.7l-capacity-zjm01-silver-black1-yr-wrty-38178616.html,kettles
